"LIBRARYREFERENCE","FOOTPRINT1","APPLICATIONS","CAPACITANCE","CATEGORY","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPOSITION","CURRENT - CONTINUOUS DRAIN (ID) @ 25°C","CURRENT - SATURATION","CURRENT RATING","DC RESISTANCE (DCR)","DESCRIPTION","DRAIN TO SOURCE VOLTAGE (VDSS)","ESR (EQUIVALENT SERIES RESISTANCE)","FEATURES","FET FEATURE","FET TYPE","FREQUENCY - SELF RESONANT","FREQUENCY - TEST","GATE CHARGE (QG) @ VGS","HEIGHT","HEIGHT - SEATED (MAX)","INDUCTANCE","INPUT CAPACITANCE (CISS) @ VDS","LEAD SPACING","LEAD STYLE","LIFETIME @ TEMP.","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER SIZE CODE","MATERIAL - CORE","MOUNTING TYPE","NUMBER OF OUTPUTS","NUMBER OF TERMINATIONS","OPERATING TEMPERATURE","PACKAGE / CASE","PACKAGING","POWER - MAX","POWER (WATTS)","PRICING 1","Q @ FREQ","RATINGS","RDS ON (MAX) @ ID, VGS","RESISTANCE (OHMS)","ROHS","SHIELDING","SIZE / DIMENSION","STOCK 1","SUPPLIER 1","SUPPLIER DEVICE PACKAGE","SUPPLIER PART NUMBER 1","TEMPERATURE COEFFICIENT","THICKNESS (MAX)","TOLERANCE","TYPE","VGS(TH) (MAX) @ ID","VOLTAGE - INPUT","VOLTAGE - OUTPUT","VOLTAGE - RATED","SHEETPART","DESIGNATOR","DESCRIPTION"
"ERJ-6RQF1R0V","R0805","","","Resistors","1R","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0003+ERJ6RQF1R0V+7+WW","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0003+ERJ6RQF1R0V+7+WW","Thick Film","","","","","RES 1 OHM 1/8W 1% 0805 SMD","","","Automotive AEC-Q200 Qualified, Current Sense","","","","","","0.028" (0.70mm)","","","","","","","Panasonic Electronic Components","ERJ-6RQF1R0V","","","","","2","","0805 (2012 Metric)","Cut Tape (CT)","","0.125W, 1/8W","1=0.57, 50=0.2266, 100=0.1748, 250=0.13596, 500=0.09584, 1000=0.06993 (USD)","","","","1","RoHS Compliant","","0.079" L x 0.049" W (2.00mm x 1.25mm)","24728","Digi-Key","0805","P1.0DCT-ND","±200ppm/°C","","±1%","","","","","","*","R?","RES 1 OHM 1/8W 1% 0805 SMD"
"GRM32DF51H106ZA01L","C1206","General Purpose","10µF","Capacitors","10uF","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM32DF51H106ZA01-01.pdf","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM32DF51H106ZA01-01.pdf","","","","","","CAP CER 10UF 50V Y5V 1210","","","-","","","","","","","-","","","-","-","","Murata Electronics North America","GRM32DF51H106ZA01L","","","Surface Mount, MLCC","","","-30°C ~ 85°C","1210 (3225 Metric)","Cut Tape (CT)","","","1=0.61, 10=0.58, 50=0.346, 100=0.2811, 250=0.23356, 500=0.21192 (USD)","","-","","","RoHS Compliant","","0.126" L x 0.098" W (3.20mm x 2.50mm)","178449","Digi-Key","","490-1891-1-ND","Y5V (F)","0.087" (2.20mm)","-20%, +80%","","","","","50V","*","C?","CAP CER 10UF 50V Y5V 1210"
"ISL6236AIRZ","L32.5x5B","Controller, Notebook Power System","","Integrated Circuits (ICs)","ISL6236AIRZ-ND","http://www.intersil.com/content/dam/Intersil/documents/fn64/fn6453.pdf","http://www.intersil.com/content/dam/Intersil/documents/fn64/fn6453.pdf","","","","","","IC MAIN PWR CTRLR QUAD 32-QFN","","","","","","","","","","","","","","","","Intersil","ISL6236AIRZ","","","Surface Mount","4","","-40°C ~ 100°C","32-VFQFN Exposed Pad","Tube","","","600=3.65 (USD)","","","","","RoHS Compliant","","","0","Digi-Key","32-QFN (5x5)","ISL6236AIRZ-ND","","","","","","4.5 V ~ 25 V","Multiple","","*","U?","IC MAIN PWR CTRLR QUAD 32-QFN"
"PAD_WITH_HOLE_4mmx1.5mm","PAD_WITH_HOLE_4MMx1.5MM","","","","4mmx1.5m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","J?","Pad with hole with 4mmx1.5mm"
"RES","R0805","","","","DNF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","R?",""
"RMCF0805FT200K","R0805","","","Resistors","200K","http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","Thick Film","","","","","RES 200K OHM 1/8W 1% 0805","","","-","","","","","","0.026" (0.65mm)","","","","","","","Stackpole Electronics Inc","RMCF0805FT200K","","","","","2","","0805 (2012 Metric)","Cut Tape (CT)","","0.125W, 1/8W","1=0.1, 10=0.029, 50=0.0162, 100=0.0123, 250=0.00912, 500=0.00672, 1000=0.00448, 2500=0.00378 (USD)","","","","200k","RoHS Compliant","","0.079" L x 0.049" W (2.00mm x 1.25mm)","27645","Digi-Key","0805","RMCF0805FT200KCT-ND","±100ppm/°C","","±1%","","","","","","*","R?","RES 200K OHM 1/8W 1% 0805"
"SI4816BDY-T1-E3","SO-8","","","Discrete Semiconductor Products","SI4816BDY-T1-E3","http://www.vishay.com/docs/73026/si4816bd.pdf","http://www.vishay.com/docs/73026/si4816bd.pdf","","5.8A, 8.2A","","","","MOSFET 2N-CH 30V 5.8A 8-SOIC","30V","","","Logic Level Gate","2 N-Channel (Half Bridge)","","","10nC @ 5V","","","","-","","","","Vishay Siliconix","SI4816BDY-T1-E3","","","Surface Mount","","","","8-SOIC (0.154", 3.90mm Width)","Cut Tape (CT)","1W, 1.25W","","1=1.68, 10=1.518, 25=1.3596, 100=1.2226, 250=1.08564, 500=0.9486, 1000=0.78523 (USD)","","","18.5 mOhm @ 6.8A, 10V","","RoHS Compliant","","","5957","Digi-Key","8-SO","SI4816BDY-T1-E3CT-ND","","","","","3V @ 250µA","","","","*","Q?","MOSFET 2N-CH 30V 5.8A 8-SOIC"
"T520D337M006ATE009","C7343-31","","330µF","Capacitors","330UF, 6.3V, 9mOhm  399-10418-1-ND","http://www.kemet.com/Lists/ProductCatalog/Attachments/421/KEM_T2015_T520.pdf","http://www.kemet.com/Lists/ProductCatalog/Attachments/421/KEM_T2015_T520.pdf","","","","","","CAP TANT 330UF 6.3V 20% 2917","","9 mOhm","Polymer","","","","","","","0.122" (3.10mm)","","","-","","2000 Hrs @ 105°C","Kemet","T520D337M006ATE009","D","","Surface Mount","","","-55°C ~ 105°C","2917 (7343 Metric)","Cut Tape (CT)","","","1=2.3, 10=1.907, 25=1.8232, 50=1.7672, 100=1.5989, 250=1.31836 (USD)","","","","","RoHS Compliant","","0.287" L x 0.169" W (7.30mm x 4.30mm)","2924","Digi-Key","","399-10418-1-ND","","","±20%","Molded","","","","6.3V","*","C?","CAP TANT 330UF 6.3V 20% 2917"
"T530X337M010ATE004","C7343-43","","330µF","Capacitors","330, 10V, 4mOhm 399-10378-1-ND","http://www.kemet.com/docfinder?Partnumber=T530X337M010ATE004","http://www.kemet.com/docfinder?Partnumber=T530X337M010ATE004","","","","","","CAP TANT 330UF 10V 20% 2917","","4 mOhm","Polymer","","","","","","","0.169" (4.30mm)","","","-","","-","Kemet","T530X337M010ATE004","X","","Surface Mount","","","-55°C ~ 125°C","2917 (7343 Metric)","Cut Tape (CT)","","","1=8.22, 10=7.685, 50=7.2876, 100=6.625, 250=5.69752 (USD)","","","","","RoHS Compliant","","0.287" L x 0.169" W (7.30mm x 4.30mm)","1645","Digi-Key","","399-10378-1-ND","","","±20%","Molded","","","","10V","*","C?","CAP TANT 330UF 10V 20% 2917"
"UMK212B7224KG-T","C0805","General Purpose","0.22µF","Capacitors","220nF","http://www.yuden.co.jp/or/product/category/capacitor/UMK212B7224KG-T.pdf","http://www.yuden.co.jp/or/product/category/capacitor/UMK212B7224KG-T.pdf","","","","","","CAP CER 0.22UF 50V 10% X7R 0805","","","-","","","","","","","-","","","-","-","","Taiyo Yuden","UMK212B7224KG-T","","","Surface Mount, MLCC","","","-55°C ~ 125°C","0805 (2012 Metric)","Cut Tape (CT)","","","1=0.12, 10=0.083, 50=0.0478, 100=0.0394, 250=0.0332, 500=0.0278, 1000=0.02283 (USD)","","-","","","RoHS Compliant","","0.079" L x 0.049" W (2.00mm x 1.25mm)","139281","Digi-Key","","587-1287-1-ND","X7R","0.053" (1.35mm)","±10%","","","","","50V","*","C?","CAP CER 0.22UF 50V 10% X7R 0805"
